word	meaning
a / an	a/an (부정관사)
about	~에 대해
above	~위에
across	~을 가로질러
action	행동
activity	활동
actor	배우(남)
actress	배우(여)
add	더하다
address	주소
adult	어른
advice	조언
afraid	두려운
after	~후에
afternoon	오후
again	다시
age	나이
ago	~전에
agree	동의하다
air	공기
airport	공항
all	모든
also	또한
always	항상
amazing	놀라운
and	그리고
angry	화난
animal	동물
another	또 다른
answer	대답
any	어떤
anyone	누구든지
anything	무엇이든
apartment	아파트
apple	사과
area	지역
arm	팔
around	주위에
arrive	도착하다
art	예술
article	기사, 관사
artist	예술가
ask	묻다
aunt	이모, 고모
autumn	가을
away	멀리
baby	아기
back	뒤, 등
bad	나쁜
bag	가방
ball	공
banana	바나나
band	밴드
bank	은행
bath	목욕
bathroom	화장실
be	~이다
beach	해변
beautiful	아름다운
because	왜냐하면
become	~이 되다
bed	침대
bedroom	침실
before	~전에
begin	시작하다
beginning	시작
behind	뒤에
believe	믿다
best	최고의
better	더 좋은
between	~사이에
bicycle	자전거
big	큰
bike	자전거
bill	청구서
bird	새
birthday	생일
black	검은색
blog	블로그
blue	파란색
boat	배
body	몸
book	책
boot	부츠
bored	지루한
boring	지루하게 하는
both	둘 다
bottle	병
box	상자
boy	남자아이
boyfriend	남자친구
bread	빵
break	부수다, 휴식
breakfast	아침식사
bring	가져오다
brother	남자형제
brown	갈색
build	짓다
building	건물
bus	버스
business	사업
busy	바쁜
but	하지만
butter	버터
buy	사다
bye	안녕
cafe	카페
cake	케이크
call	전화하다
camera	카메라
can	~할 수 있다
capital	수도
car	자동차
card	카드
career	직업
carry	나르다
cat	고양이
cent	센트
centre	중심
century	세기
chair	의자
change	바꾸다
cheap	저렴한
check	확인하다
cheese	치즈
chicken	닭고기
child	아이
chocolate	초콜릿
choose	선택하다
cinema	영화관
city	도시
class	수업, 반
classroom	교실
clean	깨끗한
climb	오르다
clock	시계
close	닫다
clothes	옷
club	클럽
coat	코트
coffee	커피
cold	추운
college	대학
colour	색깔
come	오다
common	흔한
company	회사
compare	비교하다
complete	완전한
computer	컴퓨터
concert	콘서트
conversation	대화
cook	요리하다
cooking	요리
cool	시원한, 멋진
correct	맞는
cost	비용
could	~할 수 있었다
country	나라
course	과정
cousin	사촌
cow	소
cream	크림
create	만들다
culture	문화
cup	컵
customer	고객
cut	자르다
dad	아빠
dance	춤추다
dancer	댄서
dangerous	위험한
dark	어두운
date	날짜
daughter	딸
day	날
decide	결정하다
delicious	맛있는
describe	묘사하다
design	디자인
desk	책상
detail	세부사항
dictionary	사전
die	죽다
diet	식단
difference	차이
different	다른
difficult	어려운
dinner	저녁식사
dirty	더러운
discuss	토론하다
dish	요리, 접시
do	하다
doctor	의사
dog	개
dollar	달러
door	문
down	아래로
draw	그리다
dress	드레스
drink	마시다
drive	운전하다
driver	운전자
during	~동안
each	각각
ear	귀
early	이른
east	동쪽
easy	쉬운
eat	먹다
egg	달걀
email	이메일
end	끝
enjoy	즐기다
enough	충분한
euro	유로
evening	저녁
event	행사
ever	언제나
every	모든
everybody	모든 사람
everyone	모든 사람
everything	모든 것
exam	시험
example	예시
excited	신난
exciting	흥미진진한
exercise	운동
expensive	비싼
explain	설명하다
extra	추가의
eye	눈
face	얼굴
family	가족
famous	유명한
fantastic	환상적인
far	멀리
farm	농장
farmer	농부
fast	빠른
fat	살찐
father	아버지
favourite	좋아하는
feel	느끼다
feeling	감정
festival	축제
few	몇 안 되는
fill	채우다
film	영화
find	찾다
fine	좋은
finish	끝내다
fire	불
first	첫 번째
fish	물고기
five	5
flight	비행
floor	바닥
flower	꽃
fly	날다
follow	따르다
food	음식
foot	발
football	축구
for	~을 위해
forget	잊다
free	무료의, 자유로운
friend	친구
friendly	친절한
from	~로부터
front	앞
fruit	과일
full	가득 찬
fun	재미
funny	재미있는
future	미래
game	게임
garden	정원
get	얻다
girl	여자아이
girlfriend	여자친구
give	주다
glass	유리, 잔
go	가다
good	좋은
goodbye	안녕히 가세요
grandfather	할아버지
grandmother	할머니
great	훌륭한
green	초록색
grey	회색
group	그룹
grow	자라다
guitar	기타
gym	체육관
hair	머리카락
half	반
hand	손
happen	일어나다
happy	행복한
hard	어려운, 열심히
hat	모자
hate	싫어하다
have	가지다
head	머리
health	건강
healthy	건강한
hear	듣다
hello	안녕
help	도움
here	여기
high	높은
history	역사
hobby	취미
holiday	휴일
home	집
homework	숙제
hope	바라다
horse	말
hospital	병원
hot	뜨거운
hotel	호텔
hour	시간
house	집
how	어떻게
hundred	백
hungry	배고픈
husband	남편
ice	얼음
ice cream	아이스크림
idea	아이디어
if	만약
imagine	상상하다
important	중요한
improve	개선하다
in	안에
include	포함하다
information	정보
interest	관심
interested	흥미있는
interesting	흥미로운
internet	인터넷
interview	인터뷰
